0,1,1.17956523
1,2,1.1695049196362315
2,3,1.0782277971386718
3,4,0.7221515565991214
4,5,2.7066762834667975
5,6,3.05966834126709
6,7,0.8037355333447262
7,8,1.0177190691113285
8,9,1.0951908022045902
9,10,1.1302183061718751
0,2,1.58843194
1,3,1.5343118762182615
2,4,1.3931003665136714
3,5,2.6704660510229488
4,6,2.263867959897461
5,7,2.9228550051855464
6,8,1.4727750872778316
7,9,1.4426675891088867
0,3,1.86433032
1,4,1.8108711525195313
2,5,2.6839885994189454
3,6,2.1656990333789063
4,7,2.2038107200854493
5,8,2.8500938698046876
6,9,1.8787231727832034
0,4,2.18387417
1,5,2.8142223755664064
2,6,2.3849335114306642
3,7,2.263181726152344
4,8,2.3701000611132814
5,9,2.9488983551806642
0,5,3.04501494
1,6,2.6947399003271486
2,7,2.6007457597021486
3,8,2.5422197205786135
4,9,2.663824640012207
