Tissue: Fat
Frequency Hz	Permittivity	Elec. Cond. (S/m)
50000	163.26155234963844	0.043273918526838206
69000	128.33171653128713	0.04333299682743922
88000	109.48441940817806	0.04337786023055849
107000	97.70635253911078	0.04341430069636466
126000	89.6490437745521	0.04344517957858186
145000	83.78793534023455	0.04347212508238548
164000	79.33059677435396	0.04349615362048707
183000	75.8246999709708	0.04351794283585982
202000	72.99334885886505	0.043537967335968944
221000	70.65758279930041	0.043556572522605995
240000	68.69660683939847	0.04357401760779581
259000	67.0259390678412	0.04359050207805787
278000	65.58471887257411	0.043606182712046526
297000	64.32798959634376	0.04362118493272014
316000	63.22182098061036	0.043635610618397755
335000	62.24012292147594	0.04364954362164139
354000	61.362503784524876	0.04366305375912033
373000	60.572794487062424	0.04367619975454376
392000	59.858008790635665	0.04368903144814383
411000	59.20759645125292	0.04370159148181175
430000	58.612897297871164	0.04371391660254895
449000	58.066735873125715	0.043726038683547803
468000	57.563116144454426	0.0437379855333027
487000	57.09698859819016	0.0437497815434801
506000	56.664070451746845	0.04376144821264823
525000	56.26070536474587	0.04377300457337016
544000	55.883752880052185	0.04378446754330509
563000	55.53050049308127	0.0437958522159913
582000	55.198593122767385	0.04380717210333712
601000	54.88597609342604	0.04381843933913718
620000	54.59084870034587	0.04382966485089896
639000	54.31162613510221	0.04384085850572335
658000	54.04690806523564	0.04385202923480361
677000	53.79545254935492	0.04386318514019699
696000	53.556154259338015	0.043874333586814446
715000	53.32802620180034	0.04388548128201828
734000	53.11018429968678	0.04389663434477869
753000	52.90183432490482	0.04390779836599071
772000	52.70226077393567	0.04391897846127378
791000	52.51081735736979	0.043930179317350986
810000	52.32691883651613	0.04394140523292258
829000	52.15003398951169	0.04395266015480005
848000	51.97967952862609	0.043963947709945356
867000	51.81541482192678	0.04397527123395979
886000	51.65683729782386	0.04398663379648476
905000	51.50357843154656	0.04399803822390727
924000	51.35530022931099	0.044009487119706855
943000	51.211692139598256	0.04402098288273161
962000	51.072468332178325	0.044032527723651585
981000	50.93736529476494	0.04404412367980349
1000000	50.806139704845755	0.044055772628611906
