Tissue: Kidney
Frequency Hz	Permittivity	Elec. Cond. (S/m)
50000	11429.442116871027	0.1594348652419283
69000	9397.587246582576	0.16457146042707899
88000	8194.916829539728	0.16887933112494807
107000	7384.982100344386	0.1727086508886863
126000	6793.247441033629	0.17623063743250672
145000	6335.967987288928	0.17954041724174175
164000	5967.825653985963	0.18269535124234199
183000	5662.0981649024025	0.18573203830611756
202000	5401.977094483226	0.1886748083910949
221000	5176.342341947045	0.19154034544149245
240000	4977.531832923568	0.19434037258667292
259000	4800.086215800233	0.19708329273160885
278000	4640.004438690546	0.19977523200613262
297000	4494.28273692683	0.2024207252626961
316000	4360.618502687809	0.20502317844647222
335000	4237.214024477061	0.20758518727188885
354000	4122.642847562157	0.21010876078918228
373000	4015.7565963142792	0.21259548052030225
392000	3915.618637709475	0.21504661507778217
411000	3821.4559693168485	0.21746320350414022
430000	3732.623740079026	0.21984611631604783
449000	3648.578691795179	0.22219610046238286
468000	3568.859006208928	0.22451381255603253
487000	3493.0688219382278	0.22679984348370308
506000	3420.866203146906	0.22905473663108533
525000	3351.9536920175747	0.23127900135318868
544000	3286.070817906883	0.2334731228881628
563000	3222.98810422617	0.23563756960278676
582000	3162.5022331699965	0.23777279823249825
601000	3104.4321138333007	0.2398792576135832
620000	3048.615661266939	0.24195739128291427
639000	2994.9071395385245	0.24400763922952207
658000	2943.1749556238965	0.24603043901393362
677000	2893.2998162341873	0.24802622641962352
696000	2845.1731787855747	0.24999543576179795
715000	2798.6959422753234	0.2519384999489162
734000	2753.7773350089883	0.25385585036956293
753000	2710.333964776757	0.25574791665980123
772000	2668.289003821027	0.2576151263927
791000	2627.571486228759	0.25945790472138536
810000	2588.1156995602696	0.26127667399899485
829000	2549.8606558450333	0.2630718533927726
848000	2512.749629726532	0.2648438585048155
867000	2476.729753668074	0.26659310100834627
886000	2441.7516618512655	0.2683199883056073
905000	2407.769175794388	0.27002492321134053
924000	2374.739025855791	0.27170830366421256
943000	2342.6206037193974	0.27337052246732857
962000	2311.3757417261613	0.2750119670580764
981000	2280.9685155487	0.27663301930688455
1000000	2251.3650672317663	0.27823405534399837
